Shop Name,Positive (%),Neutral (%),Negative (%),Top Positive Keywords,Top Neutral Keywords,Top Negative Keywords
크레페허브,100.0,0.0,0.0,"맛있다, 좋다, 친절하다",,
데니스커피 명지대점,100.0,0.0,0.0,"크다, 기대, 맛있다",,
디저트39 명지대점,100.0,0.0,0.0,맛있다,,
매치걸빈스,100.0,0.0,0.0,"맛있다, 좋다, 친절하다",,
메가MGC커피 명지대점,100.0,0.0,0.0,,,
무지개카페,100.0,0.0,0.0,"좋다, 많다, 맛있다",,
발루토 핀치,100.0,0.0,0.0,"맛있다, 친구, 놀다",,
설빙 명지대점,100.0,0.0,0.0,"확실하다, 편하다, 맛있다",,
셀렉토커피 남가좌점,100.0,0.0,0.0,,,
스케네브라운,100.0,0.0,0.0,"감격, 선하다, 좋다",,
시냇가에심은나무,100.0,0.0,0.0,"맛있다, 신선하다, 좋다",,
쏘네당,100.0,0.0,0.0,"크다, 맛있다, 친절하다",,
오월의 이유,100.0,0.0,0.0,"맛있다, 도리, 여유",,
카페인중독 명지대점,100.0,0.0,0.0,"맛있다, 좋다",,
컴포즈커피 명지대사거리점,100.0,0.0,0.0,"맛있다, 따뜻하다, 달콤하다",,
컴포즈커피 명지대정문점,100.0,0.0,0.0,"맛있다, 좋다, 넉넉하다",,
팔공티 명지전문대점,100.0,0.0,0.0,맛있다,,
폴센,100.0,0.0,0.0,맛있다,,
할리스 서울명지대점,100.0,0.0,0.0,강추,,
shop_name,100.0,0.0,0.0,,,
GRAP,100.0,0.0,0.0,"맛있다, 친절하다, 깔끔하다",,
글룩베이커리,100.0,0.0,0.0,"맛있다, 친절하다",,
프에프에케이크,92.0,0.0,8.0,"맛있다, 좋다, 좋아하다",못,"느끼하다, 아니다, 어렵다"
대단한탕후루 명지대점,90.91,0.0,9.09,"맛있다, 많다, 달콤하다",,"아니다, 환상, 해"
하이롱 디저트가게,75.0,0.0,25.0,"맛있다, 예쁘다, 좋아하다",,"없다, 아니다, 후회"
