가게 이름,Positive (%),Negative (%),Neutral (%),Top Positive Keywords,Top Negative Keywords,Top Neutral Keywords
설빙 명지대점,9.545454545454547,4.090909090909091,86.36363636363636,"맛있다, 좋다, 많다, 편하다, 친절하다","아니다, 없다, 비싸다, 덥다, 아쉽다","빙수, 설빙, 하다, 먹다, 망고"
컴포즈커피 명지대사거리점,29.218106995884774,0.411522633744856,70.37037037037037,"좋다, 맛있다, 친절하다, 좋아하다, 저렴하다",덥다,", 굿, 커피, 굿굿, 단골"
팔공티 명지전문대점,26.20481927710843,1.8072289156626504,71.98795180722891,"좋다, 맛있다, 친절하다, 저렴하다, 좋아하다","없다, 당하다, 어렵다, 아쉽다, 해","굿, 티, 가성, 먹다, 맛"
GRAP,15.396825396825397,0.9523809523809524,83.65079365079366,"맛있다, 친절하다, 좋다, 예쁘다, 괜찮다","없다, 추하다, 일부러, 늘어나다, 아쉽다","파이, 너무, 커피, 하다, 먹다"
셀렉토커피 남가좌점,22.84263959390863,4.568527918781726,72.58883248730965,"좋다, 친절하다, 맛있다, 괜찮다, 깔끔하다","아쉽다, 덥다, 지경, 힘들다, 없다","굿, 커피, 사장, 너무,"
메가MGC커피 명지대점,15.757575757575756,3.3333333333333335,80.9090909090909,"좋다, 맛있다, 친절하다, 받다, 시원하다","떨어지다, 아니다, 추하다, 버리다, 망치다","하다, 추천, 번창, 커피, 굿"
시냇가에심은나무,18.63799283154122,2.3297491039426523,79.03225806451613,"맛있다, 좋다, 친절하다, 맛집, 크다","늦다, 아니다, 없다, 느끼하다, 깜놀","빵, 케이크, 케익, 하다, 너무"
오월의 이유,18.932038834951456,0.0,81.06796116504854,"맛있다, 좋다, 친절하다, 많다, 예쁘다",,"카페, 분위기, 조용하다, 하다, 커피"
디저트39 명지대점,22.815533980582526,3.1553398058252426,74.02912621359224,"맛있다, 좋다, 많다, 다양하다, 깔끔하다","늦다, 걸리다, 없다, 약하다, 지다","하다, 디저트, 굿, 맛, 커피"
크레페허브,15.89648798521257,1.5711645101663587,82.53234750462107,"맛있다, 좋다, 친절하다, 많다, 깨끗하다","아니다, 걸리다, 아쉽다, 없다, 해","크레페, 너무, 하다, 먹다, 오다"
카페인중독 명지대점,18.823529411764707,2.941176470588235,78.23529411764706,"맛있다, 좋다, 친절하다, 많다, 다양하다","중독, 없다, 아니다, 느끼하다, 후회","와플, 너무, 먹다, 하다, 오다"
발루토 핀치,21.996303142329023,1.2939001848428837,76.7097966728281,"맛있다, 좋다, 맛집, 친절하다, 저렴하다","없다, 지다, 해, 맛없다","스콘, 커피, 맛, 라떼, 카페"
글룩베이커리,14.383561643835616,1.5410958904109588,84.07534246575342,"맛있다, 좋다, 좋아하다, 최고, 친절하다","아쉽다, 속이다, 슬픔, 아니다, 흘리다","빵, 소금, 너무, 하다, 먹다"
프에프에케이크,13.12828207051763,2.100525131282821,84.77119279819955,"맛있다, 좋다, 친절하다, 좋아하다, 싱싱하다","아니다, 느끼하다, 없다, 해, 나쁘다","케이크, 하다, 딸기, 너무, 먹다"
쏘네당,22.58064516129032,1.6129032258064515,75.80645161290323,"맛있다, 좋다, 예쁘다, 최고, 맛집","느끼하다, 지나치다","마카롱, 먹다, 가격, 쏘다, 보다"
폴센,20.79646017699115,1.3274336283185841,77.87610619469027,"맛있다, 친절하다, 맛집, 최고, 좋다","아니다, 버리다, 없다","마카롱, 너무, 하다, 먹다, 사장"
하이롱 디저트가게,12.332112332112333,1.6483516483516485,86.01953601953602,"맛있다, 좋다, 좋아하다, 크다, 덕","없다, 아니다, 늦다, 버리다, 아쉽다","너무, 하다, 버터, 먹다, 바"
무지개카페,18.214607754733994,1.1722272317403066,80.6131650135257,"좋다, 맛있다, 편하다, 예쁘다, 친절하다","떨다, 거슬리다, 위기, 부족하다, 싫다","너무, 하다, 카페, 커피, 먹다"
할리스 서울명지대점,23.23008849557522,2.2123893805309733,74.5575221238938,"좋다, 맛있다, 친절하다, 깔끔하다, 많다","아니다, 깜놀, 힘들다, 차마, 떨어지다","하다, 매장, 조용하다, 분위기, 굿"
대단한탕후루 명지대점,15.404929577464788,2.464788732394366,82.13028169014085,"맛있다, 좋다, 친절하다, 맛집, 좋아하다","아니다, 없다, 중독, 먼지, 버리다","탕후루, 먹다, 하다, 너무, 과일"
